ticket_id,text
T101,"I was charged twice this month and I need help immediately."
T102,"I cannot login to my account after password reset."
T103,"The app crashes every time I click export report."
T104,"Please cancel my plan and give me a refund."
T105,"Where can I update my company billing address?"
T106,"Your service is terrible, I am frustrated and need a quick fix."
T107,"No hurry, but my notification settings are not saving."
T108,"My card was declined but money was deducted."
T109,"I cannot sign in and OTP is not coming."
T110,"Thanks for your help earlier, one small issue remains with dashboard filters."
